Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-04-11,HOUR23,39.73364,-104.31712,3.0,Wind,83.0,M
2022-04-13,HOUR17,39.73436,-104.3312,2.0,Clear,29.0,M
2022-04-14,HOUR2,39.73785,-104.63863,1.0,Clear,29.0,M
2022-04-14,HOUR15,39.73466,-105.16562,2.0,Clear,,
2022-04-14,HOUR15,39.71392,-105.69677,2.0,Cloudy,29.0,M
2022-04-14,HOUR17,39.72077,-105.18599,2.0,Clear,29.0,M
2022-04-14,HOUR22,39.72492,-105.179715,2.0,Clear,,
2022-04-15,HOUR15,39.74979,-105.54908,1.0,Clear,25.0,M
2022-04-15,HOUR15,39.730957,-105.170285,2.0,Clear,39.0,F
2022-04-15,HOUR16,39.741,-105.51546,2.0,Clear,22.0,M
2022-04-16,HOUR0,39.74026,-105.49955,2.0,Clear,66.0,M
2022-04-16,HOUR5,39.74516,-105.46992,1.0,Rain,24.0,M
2022-04-16,HOUR10,39.74103,-105.43298,2.0,Clear,56.0,F
2022-04-16,HOUR14,39.73089,-105.69257,2.0,Clear,15.0,F
2022-04-16,HOUR15,39.740125,-104.728944,2.0,Cloudy,24.0,M
2022-04-18,HOUR21,39.74398,-105.43403,2.0,Clear,41.0,M
2022-04-19,HOUR11,39.71544,-105.37222,1.0,Clear,,
2022-04-19,HOUR17,39.73942,-105.16102,2.0,Clear,20.0,M
2022-04-19,HOUR19,39.74018,-104.66786,1.0,Clear,62.0,M
2022-04-20,HOUR3,39.73808,-104.42353,2.0,Clear,27.0,F
2022-04-20,HOUR13,39.73779,-104.45607,1.0,Clear,40.0,M
2022-04-21,HOUR9,39.71139,-105.35361,1.0,Clear,67.0,M
2022-04-22,HOUR7,39.74375,-105.48305,2.0,Clear,32.0,M
2022-04-22,HOUR13,39.72889,-104.27531,1.0,Wind,29.0,M
2022-04-22,HOUR14,39.72943,-104.27764,1.0,Wind,54.0,M
2022-04-23,HOUR17,39.738798,-104.533435,2.0,Clear,59.0,M
2022-04-24,HOUR12,39.73073,-105.6927,1.0,Snow,30.0,M
2022-04-25,HOUR11,39.74341,-105.43328,1.0,Clear,67.0,F
