Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-03-09,800.0,2,DRY,39.736285,-105.16359,32,F
2015-03-09,900.0,2,DRY,39.734671,-105.165609,22,F
2015-03-13,1300.0,2,DRY,39.733787,-104.349956,15,F
2015-03-13,1456.0,2,DRY,39.743398,-105.433483,36,F
2015-03-14,15.0,1,ICY,39.741309,-105.513813,26,M
2015-03-14,15.0,1,ICY,39.741309,-105.513813,32,F
2015-03-14,845.0,2,DRY,39.7412,-105.495991,26,M
2015-03-16,2230.0,1,DRY,39.739931,-104.681042,49,M
2015-03-24,720.0,2,DRY,39.731071,-105.17014,25,F
2015-03-25,1445.0,2,DRY,39.739791,-105.159158,37,M
2015-03-25,1510.0,1,WET,39.731258,-105.4267,46,M
2015-03-28,800.0,3,DRY,39.740309,-105.504954,57,M
2015-03-28,1310.0,1,DRY,39.744356,-105.446985,25,F
2015-03-29,1532.0,1,DRY,39.709743,-105.293454,57,M
2015-03-29,2036.0,1,DRY,39.741039,-105.515322,21,M
2015-03-30,1245.0,2,DRY,39.743529,-105.532264,72,M
2015-03-30,1600.0,1,DRY,39.743529,-105.532264,36,M
2015-04-01,1710.0,2,DRY,39.74476,-105.474737,24,F
2015-04-02,1840.0,2,SNOWY W/VIS ICY ROAD TREATMENT,39.725705,-105.420646,23,F
2015-04-02,1930.0,1,ICY W/VIS ICY ROAD TREATMENT,39.744939,-105.468351,23,M
2015-04-02,2255.0,2,ICY,39.71819,-105.400354,0,
2015-04-02,2349.0,1,ICY,39.738087,-104.422265,23,F
2015-04-03,1630.0,1,DRY,39.738118,-104.43406,46,M
2015-04-04,1300.0,2,DRY,39.740611,-105.497658,25,M
2015-04-04,1655.0,2,DRY,39.741309,-105.513813,55,M
2015-04-06,2010.0,1,DRY,39.708501,-105.196869,60,M
2015-04-07,1548.0,2,DRY,39.710188,-105.295234,45,M
2015-04-07,1641.0,2,DRY,39.731071,-105.17014,40,F
2015-04-08,1940.0,1,DRY,39.715998,-105.396575,26,F
2015-04-08,1941.0,1,DRY,39.715998,-105.396575,25,M
2015-04-09,1230.0,2,DRY,39.743193,-105.530377,19,M
2015-04-10,1303.0,2,DRY,39.732659,-105.168136,40,M
2015-04-10,2205.0,2,DRY,39.743412,-105.154635,48,F
2015-04-12,640.0,1,DRY,39.733101,-104.36244,55,M
2015-04-14,732.0,1,DRY,39.740125,-104.728948,16,F
2015-04-16,803.0,4,SNOWY,39.708276,-105.698875,37,M
2015-04-16,845.0,7,SNOWY,39.729987,-105.425772,37,M
2015-04-16,911.0,2,SLUSHY W/VIS ICY ROAD TREATMENT,39.721552,-105.411134,24,M
2015-04-16,940.0,2,SNOWY,39.70908,-105.319307,50,M
2015-04-16,1425.0,2,WET,39.74013,-104.716046,29,F
2015-04-16,1913.0,1,ICY,39.740211,-104.662923,45,M
2015-04-16,1925.0,1,SLUSHY W/VIS ICY ROAD TREATMENT,39.709018,-105.28633,27,M
2015-04-16,1950.0,2,SNOWY,39.740121,-104.71988,25,M
2015-04-17,815.0,4,WET,39.741975,-104.73551,43,M
2015-04-17,845.0,3,WET,39.740137,-104.713531,41,M
2015-04-17,922.0,2,WET,39.739968,-104.656228,45,M
2015-04-17,2130.0,1,ICY,39.712359,-105.697017,34,F
2015-04-18,0.0,1,SNOWY,39.739718,-104.588825,32,M
2015-04-18,1149.0,2,DRY,39.739791,-105.159158,59,F
2015-04-18,1204.0,1,WET,39.719182,-105.402122,0,
2015-04-18,2156.0,1,ICY,39.714292,-105.369168,54,F
2015-04-18,2230.0,1,ICY,39.71269,-105.36629,27,F
2015-04-18,2310.0,1,ICY,39.741039,-105.515322,48,M
2015-04-23,1720.0,2,DRY,39.711525,-105.353338,80,F
2015-04-24,1631.0,2,WET,39.725314,-105.179109,23,F
2015-04-25,23.0,2,DRY,39.741309,-105.513813,57,F
2015-04-26,331.0,1,WET,39.738131,-104.440155,33,M
2015-04-26,545.0,2,SLUSHY,39.708875,-104.203692,25,M
2015-04-26,552.0,1,SLUSHY,39.708875,-104.203692,39,M
2015-04-26,705.0,1,WET,39.725705,-105.420646,31,M
2015-04-26,719.0,1,SLUSHY,39.725705,-105.420646,26,F
2015-04-28,945.0,1,DRY,39.710874,-106.709195,21,M
2015-04-28,1000.0,1,DRY,39.745004,-105.538119,29,F
2015-04-29,558.0,2,DRY,39.742704,-104.736734,25,M
2015-04-29,828.0,2,DRY,39.74013,-104.716046,37,M
2015-04-29,1115.0,2,DRY,39.731129,-105.169122,58,M
2015-04-30,1300.0,1,DRY,39.738067,-104.414511,51,M
2015-04-30,1659.0,2,DRY,39.739791,-105.159158,54,F
2015-04-30,2042.0,1,WET,39.709008,-105.286147,75,F
2015-05-02,1802.0,2,DRY,39.739791,-105.159158,59,M
2015-05-05,1345.0,2,WET,39.746644,-105.464854,40,F
2015-05-05,1717.0,2,WET,39.739791,-105.159158,0,
2015-05-08,430.0,1,WET,39.740309,-105.504954,21,M
2015-05-08,1241.0,2,WET,39.735836,-105.164151,19,M
2015-05-09,615.0,1,WET,39.737407,-104.406595,30,F
2015-05-09,2142.0,1,SLUSHY,39.714288,-104.217817,33,M
2015-05-10,758.0,1,SLUSHY W/VIS ICY ROAD TREATMENT,39.740061,-104.623969,24,F
2015-05-13,124.0,3,DRY,39.72885,-104.273625,0,
2015-05-15,1208.0,1,DRY,39.712274,-105.193982,69,M
2015-05-15,1310.0,2,SLUSHY,39.740262,-104.659423,67,M
2015-05-17,1910.0,2,WET,39.714292,-105.369168,38,M
2015-05-18,1730.0,1,WET,39.735209,-105.429165,34,M
2015-05-19,907.0,2,WET,39.712991,-105.193447,0,
2015-05-22,1318.0,2,DRY,39.738164,-104.456102,45,M
2015-05-22,1825.0,1,WET,39.738129,-104.439157,25,M
2015-05-23,1830.0,1,WET,39.715404,-105.375448,49,M
2015-05-24,949.0,1,SLUSHY W/VIS ICY ROAD TREATMENT,39.739931,-104.607227,27,F
2015-05-27,1631.0,2,DRY,39.739791,-105.159158,57,F
2015-05-27,2145.0,1,WET,39.712964,-105.305961,29,M
2015-05-29,424.0,1,DRY,39.72492,-105.179715,62,F
2015-05-29,1600.0,2,DRY,39.726777,-105.176854,0,
2015-06-01,450.0,1,DRY,39.734248,-104.328627,34,M
2015-06-01,1451.0,2,DRY,39.74635,-105.460842,62,M
2015-06-01,1629.0,2,DRY,39.739791,-105.159158,61,M
2015-06-02,210.0,1,DRY,39.731258,-105.4267,38,F
2015-06-03,1140.0,2,DRY,39.745221,-105.470474,38,M
2015-06-03,1756.0,2,DRY,39.720183,-105.186957,32,F
2015-06-03,2053.0,2,WET,39.74013,-104.716046,57,M
2015-06-04,515.0,1,DRY,39.712381,-105.193904,50,M
2015-06-04,1635.0,2,DRY,39.734131,-104.325986,67,M
2015-06-06,850.0,1,DRY,39.740002,-104.677101,0,
2015-06-06,1720.0,2,WET,39.727878,-105.423152,57,M
2015-06-07,1945.0,1,WET,39.717967,-104.231587,22,F
2015-06-07,2045.0,2,WET,39.740119,-104.707748,23,M
2015-06-08,600.0,2,DRY,39.72914,-104.289282,31,M
2015-06-08,640.0,2,DRY,39.72914,-104.289282,56,M
2015-06-08,1215.0,4,DRY,39.74562,-105.539712,62,F
2015-06-09,1657.0,2,DRY,39.734671,-105.165609,22,F
2015-06-12,1230.0,2,DRY,39.739791,-105.159158,46,U
2015-06-12,1857.0,2,DRY,39.738801,-105.160412,39,M
2015-06-15,405.0,1,DRY,39.743454,-105.444217,36,M
2015-06-15,1222.0,1,DRY,39.738212,-104.481192,23,M
2015-06-16,1645.0,2,DRY,39.743529,-105.532264,56,M
2015-06-16,1700.0,2,DRY,39.741309,-105.513813,23,M
2015-06-16,2305.0,1,DRY,39.738258,-104.63503,55,M
2015-06-17,1405.0,2,DRY,39.730957,-105.170285,18,F
2015-06-18,645.0,1,DRY,39.740067,-104.691617,19,M
2015-06-20,1740.0,2,DRY,39.709206,-105.289807,27,M
2015-06-22,2000.0,1,DRY,39.739711,-104.588274,66,M
2015-06-23,315.0,1,DRY,39.742095,-105.156278,25,M
2015-06-23,545.0,1,DRY,39.734671,-105.165609,67,M
2015-06-24,1954.0,1,WET,39.744354,-105.434957,41,M
2015-06-25,845.0,2,DRY,39.74013,-104.716046,31,M
2015-06-25,900.0,2,DRY,39.743529,-105.532264,42,M
2015-06-26,2057.0,1,DRY,39.719182,-105.402122,52,M
2015-06-27,5.0,2,DRY,39.708501,-105.196869,26,M
2015-06-27,30.0,2,DRY,39.728311,-104.273074,28,M
2015-06-27,235.0,1,DRY,39.740133,-104.714785,63,M
2015-06-27,1000.0,2,DRY,39.738191,-104.469844,25,M
2015-06-27,1045.0,2,DRY,39.731258,-105.4267,52,M
2015-06-27,1321.0,2,DRY,39.739251,-105.159842,32,F
2015-06-28,235.0,2,DRY,39.741474,-105.52298,20,F
2015-06-28,1300.0,2,DRY,39.740132,-104.715858,20,M
2015-06-29,1950.0,1,DRY,39.743736,-105.681597,45,M
2015-06-30,1215.0,3,DRY,39.739791,-105.159158,27,M
2015-07-02,1400.0,2,DRY,39.744067,-105.455807,24,M
2015-07-02,1618.0,2,DRY,39.739791,-105.159158,26,F
2015-07-02,2331.0,1,DRY,39.740474,-105.432701,36,M
