Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20141117,0,18,660,0.0,0.0,,8.100000000000001,2.0,19.0,1.0,2.0,1
20141125,1,9,778,0.03,0.5,,5.400000000000001,2.0,67.0,1.0,2.0,2
20141125,0,9,1653,0.03,0.5,,5.400000000000001,2.0,67.0,1.0,2.0,2
20141125,1,13,1308,0.03,0.5,,5.400000000000001,2.0,30.0,1.0,2.0,2
20141125,0,13,1234,0.03,0.5,,5.400000000000001,2.0,30.0,1.0,2.0,2
20141126,1,14,2170,0.17,2.6,,8.000000000000002,4.0,27.0,1.0,2.0,3
20141126,0,14,2494,0.17,2.6,,8.000000000000002,4.0,27.0,1.0,2.0,3
20141128,1,1,47,0.0,0.0,,8.000000000000002,2.0,17.0,1.0,2.0,5
20141128,0,1,82,0.0,0.0,,8.000000000000002,2.0,17.0,1.0,2.0,5
20141203,1,15,1370,0.0,0.0,,0.5000000000000009,2.0,38.0,1.0,2.0,3
20141203,0,15,917,0.0,0.0,,0.5000000000000009,2.0,38.0,1.0,2.0,3
20141206,1,17,2716,0.0,0.0,,0.5000000000000009,2.0,25.0,1.0,2.0,6
20141206,0,17,1014,0.0,0.0,,0.5000000000000009,2.0,25.0,1.0,2.0,6
20141210,1,9,877,0.0,0.0,,0.0,2.0,49.0,1.0,2.0,3
20141210,0,9,1395,0.0,0.0,,0.0,2.0,49.0,1.0,2.0,3
20141211,1,12,1023,0.0,0.0,,0.0,2.0,54.0,1.0,2.0,4
20141211,0,12,1176,0.0,0.0,,0.0,2.0,54.0,1.0,2.0,4
20141227,1,11,2519,0.07,0.7,,16.99999999999999,2.0,20.0,1.0,2.0,6
20141227,0,11,2506,0.07,0.7,,16.99999999999999,2.0,20.0,1.0,2.0,6
20150108,1,1,56,0.0,0.0,,1.4000000000000008,1.0,17.0,1.0,2.0,4
20150108,0,1,128,0.0,0.0,,1.4000000000000008,1.0,17.0,1.0,2.0,4
20150114,1,3,50,0.0,0.0,,0.7000000000000008,1.0,19.0,1.0,2.0,3
20150114,0,3,95,0.0,0.0,,0.7000000000000008,1.0,19.0,1.0,2.0,3
20150114,1,12,1218,0.0,0.0,,0.7000000000000008,2.0,24.0,1.0,2.0,3
20150114,0,12,1091,0.0,0.0,,0.7000000000000008,2.0,24.0,1.0,2.0,3
20150114,1,17,1586,0.0,0.0,,0.7000000000000008,2.0,25.0,1.0,2.0,3
20150114,0,17,903,0.0,0.0,,0.7000000000000008,2.0,25.0,1.0,2.0,3
20150120,1,14,1711,0.01,0.6,,1.5000000000000009,1.0,27.0,1.0,2.0,2
