Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2014-08-04,5,1,19,0,1
2014-08-04,5,1,18,0,0
2014-08-04,6,1,56,0,1
2014-08-04,11,2,31,0,0
2014-08-04,15,2,21,0,1
2014-08-05,17,2,34,0,0
2014-08-05,18,1,51,0,0
2014-08-07,9,1,51,0,0
2014-08-07,17,2,19,0,0
2014-08-07,20,2,19,3,0
2014-08-08,14,1,72,0,0
2014-08-09,8,2,46,0,0
2014-08-09,16,3,16,0,0
2014-08-09,17,2,19,0,1
2014-08-09,21,1,24,0,0
2014-08-10,10,2,62,0,1
2014-08-10,13,1,64,0,0
2014-08-11,20,1,62,0,1
2014-08-12,9,2,67,0,1
2014-08-12,18,2,57,0,0
2014-08-16,7,2,20,0,1
2014-08-16,9,2,60,0,0
2014-08-17,4,2,23,0,0
2014-08-17,19,2,51,0,0
2014-08-18,10,1,34,0,1
2014-08-18,11,1,22,0,0
2014-08-19,7,3,34,0,0
2014-08-20,13,1,20,0,0
2014-08-20,15,2,24,0,1
2014-08-20,17,3,17,0,1
2014-08-22,15,1,35,3,1
2014-08-22,19,2,30,3,1
2014-08-24,18,1,42,0,0
2014-08-25,8,2,34,0,0
2014-08-25,16,1,32,3,1
2014-08-25,17,2,32,0,0
2014-08-25,18,1,22,3,0
2014-08-25,18,2,48,3,0
2014-08-28,22,1,55,0,0
2014-08-29,17,2,62,0,0
2014-08-30,11,3,22,0,0
2014-08-30,17,1,63,3,0
2014-08-30,19,1,65,3,0
2014-08-31,11,1,22,0,1
2014-08-31,17,1,27,3,0
2014-08-31,21,2,30,0,0
2014-09-02,18,3,20,0,0
2014-09-03,17,3,24,0,0
2014-09-04,19,2,58,3,1
2014-09-04,19,2,33,3,1
2014-09-05,8,1,46,3,0
2014-09-05,17,2,81,3,0
2014-09-05,19,2,47,3,0
2014-09-06,17,2,51,0,1
2014-09-08,12,2,40,0,1
2014-09-08,13,2,80,0,0
2014-09-08,21,1,36,0,0
2014-09-09,8,2,24,0,0
2014-09-11,7,2,77,3,0
2014-09-13,12,3,48,0,1
2014-09-13,15,1,55,0,0
2014-09-13,18,2,34,0,0
2014-09-14,14,1,33,0,0
2014-09-14,17,2,16,0,0
2014-09-16,0,1,32,0,0
2014-09-18,12,2,54,0,0
2014-09-18,16,1,38,0,0
2014-09-19,2,1,21,0,0
2014-09-20,9,2,23,0,1
2014-09-21,17,1,34,0,0
2014-09-23,9,2,61,0,0
2014-09-23,12,2,61,0,0
2014-09-25,20,2,65,0,0
2014-09-26,11,2,29,0,0
2014-09-28,13,2,65,0,0
2014-09-28,19,2,30,0,0
2014-09-28,20,2,39,3,0
2014-09-29,13,2,19,3,0
2014-09-29,15,1,25,3,1
2014-09-29,19,1,52,3,0
