DATE,Direction,HOUR,TRAFFIC
2014-01-08,S,0,107
2014-01-08,P,1,90
2014-01-08,S,1,84
2014-01-08,P,2,83
2014-01-08,S,2,44
2014-01-08,P,3,76
2014-01-08,S,3,83
2014-01-08,P,4,87
2014-01-08,S,4,174
2014-01-08,P,5,177
2014-01-08,S,5,285
2014-01-08,P,6,398
2014-01-08,S,6,569
2014-01-08,P,7,699
2014-01-08,S,7,1324
2014-01-08,P,8,786
2014-01-08,S,8,1929
2014-01-08,P,9,934
2014-01-08,S,9,1754
2014-01-08,P,10,1182
2014-01-08,S,10,1279
2014-01-08,P,11,1245
2014-01-08,S,11,1025
2014-01-08,P,12,1223
2014-01-08,S,12,992
2014-01-08,P,13,1309
2014-01-08,S,13,1017
2014-01-08,P,14,1399
2014-01-08,S,14,1055
2014-01-08,P,15,2203
2014-01-08,S,15,1077
2014-01-08,P,16,2067
2014-01-08,S,16,1062
2014-01-08,P,17,1543
2014-01-08,S,17,881
2014-01-08,P,18,817
2014-01-08,S,18,785
2014-01-08,P,19,350
2014-01-08,S,19,346
2014-01-08,P,20,39
2014-01-08,S,20,30
2014-01-08,P,21,191
2014-01-08,S,21,277
2014-01-08,P,22,167
2014-01-08,S,22,304
2014-01-08,P,23,116
2014-01-08,S,23,208
2014-01-09,P,0,79
2014-01-09,S,0,135
2014-01-09,P,1,64
2014-01-09,S,1,99
2014-01-09,P,2,44
2014-01-09,S,2,90
2014-01-09,P,3,55
2014-01-09,S,3,82
2014-01-09,P,4,92
2014-01-09,S,4,172
2014-01-09,P,5,192
2014-01-09,S,5,284
2014-01-09,P,6,411
2014-01-09,S,6,635
2014-01-09,P,7,750
2014-01-09,S,7,1394
2014-01-09,P,8,866
2014-01-09,S,8,2179
2014-01-09,P,9,1092
2014-01-09,S,9,1969
2014-01-09,P,10,1312
2014-01-09,S,10,1408
2014-01-09,P,11,1433
2014-01-09,S,11,1267
2014-01-09,P,12,1278
2014-01-09,S,12,1080
2014-01-09,P,13,1868
2014-01-09,S,13,1135
2014-01-09,P,14,2047
2014-01-09,S,14,1199
2014-01-09,P,15,2183
2014-01-09,S,15,1264
2014-01-09,P,16,2226
2014-01-09,S,16,1286
2014-01-09,P,17,1509
2014-01-09,S,17,1081
2014-01-09,P,18,985
2014-01-09,S,18,1091
2014-01-09,P,19,564
2014-01-09,S,19,821
2014-01-09,P,20,367
2014-01-09,S,20,750
2014-01-09,P,21,290
2014-01-09,S,21,593
2014-01-09,P,22,206
2014-01-09,S,22,472
2014-01-09,P,23,153
2014-01-09,S,23,334
2014-01-10,P,0,149
2014-01-10,S,0,233
2014-01-10,P,1,147
2014-01-10,S,1,137
2014-01-10,P,2,73
2014-01-10,S,2,89
2014-01-10,P,3,61
2014-01-10,S,3,89
2014-01-10,P,4,98
2014-01-10,S,4,150
2014-01-10,P,5,192
2014-01-10,S,5,270
2014-01-10,P,6,368
2014-01-10,S,6,776
2014-01-10,P,7,613
2014-01-10,S,7,1057
2014-01-10,P,8,758
2014-01-10,S,8,2615
2014-01-10,P,9,868
2014-01-10,S,9,2036
2014-01-10,P,10,608
2014-01-10,S,10,1349
2014-01-10,P,11,717
2014-01-10,S,11,1240
2014-01-10,P,12,1637
