Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2021-07-17,19,1,26,0,0
2021-07-18,13,2,28,0,1
2021-07-18,14,2,37,0,1
2021-07-21,18,2,56,3,0
2021-07-22,16,2,42,0,0
2021-07-26,9,1,40,0,0
2021-07-26,16,2,35,0,1
2021-07-26,21,1,34,0,0
2021-07-27,11,2,20,0,1
2021-07-28,23,1,72,0,0
2021-07-29,3,1,31,0,0
2021-07-30,7,2,22,0,0
2021-07-31,17,2,48,3,1
2021-07-31,19,2,20,3,0
2021-07-31,19,3,31,3,0
2021-08-02,3,1,44,0,0
2021-08-04,16,2,21,0,0
2021-08-05,22,3,25,0,0
2021-08-07,18,1,42,0,0
2021-08-09,14,3,63,0,1
2021-08-10,0,2,51,0,0
2021-08-10,16,2,32,0,1
2021-08-11,17,2,29,0,0
2021-08-14,16,2,23,0,0
2021-08-15,3,1,16,0,0
2021-08-15,11,1,30,0,0
2021-08-17,16,2,70,3,1
2021-08-17,17,2,45,3,0
2021-08-18,9,1,55,0,0
2021-08-19,14,1,26,3,0
2021-08-19,16,1,29,3,0
2021-08-21,8,2,24,0,1
2021-08-21,10,2,35,0,0
2021-08-22,16,1,21,0,0
2021-08-22,18,2,70,0,1
2021-08-22,18,3,31,0,0
2021-08-23,9,1,37,0,0
2021-08-24,16,2,57,0,0
2021-08-26,7,1,33,1,1
2021-08-26,13,3,33,1,0
2021-08-26,16,3,32,0,1
2021-08-27,1,2,19,0,1
2021-08-28,10,1,68,0,0
2021-08-29,22,1,24,0,1
2021-08-31,17,3,34,0,0
2021-09-02,7,2,50,0,0
2021-09-03,11,2,32,3,0
2021-09-03,21,2,33,0,0
2021-09-04,16,4,23,0,0
2021-09-06,8,2,63,0,0
2021-09-07,7,2,49,0,1
2021-09-08,16,3,45,0,0
2021-09-09,7,1,69,0,1
2021-09-10,22,1,21,0,0
2021-09-12,12,2,23,0,1
2021-09-13,8,1,61,2,0
2021-09-13,15,2,31,1,1
2021-09-16,15,1,30,0,1
2021-09-16,17,2,23,0,0
2021-09-17,13,1,31,2,0
2021-09-18,13,2,21,0,1
2021-09-19,3,1,32,0,0
2021-09-19,15,2,27,0,1
2021-09-20,6,2,22,0,0
2021-09-20,13,2,55,0,1
2021-09-21,16,3,20,0,0
2021-09-22,14,1,50,0,0
2021-09-22,15,2,23,0,0
2021-09-23,5,1,31,0,0
2021-09-23,8,2,45,0,0
2021-09-23,20,1,45,0,0
2021-09-24,8,1,41,0,0
2021-09-24,8,1,36,0,0
2021-09-24,16,2,18,0,0
2021-09-25,13,1,55,0,0
2021-09-25,17,2,21,0,1
2021-09-26,11,2,27,0,0
2021-09-26,16,2,36,0,1
2021-09-26,20,2,20,0,0
2021-09-26,23,1,1,0,0
2021-09-27,15,2,28,0,1
2021-09-28,5,2,39,0,0
2021-09-28,12,2,36,0,0
2021-09-28,17,2,38,0,0
2021-09-29,4,1,49,0,0
2021-09-29,5,2,26,0,0
2021-09-29,7,2,42,1,1
2021-09-29,14,1,30,3,1
2021-09-30,12,1,52,0,0
2021-10-01,0,1,33,0,0
2021-10-01,16,2,45,0,0
2021-10-01,17,2,23,1,0
2021-10-02,15,2,44,0,1
2021-10-02,15,3,30,0,0
2021-10-02,16,2,37,0,0
2021-10-02,19,2,59,0,0
2021-10-03,11,2,63,0,0
2021-10-03,13,2,60,0,1
2021-10-03,14,1,22,0,0
2021-10-05,4,1,46,0,0
2021-10-05,18,2,27,0,0
2021-10-06,3,2,30,0,0
2021-10-07,17,2,61,1,1
2021-10-08,7,2,44,0,0
2021-10-08,20,1,26,0,0
2021-10-09,7,1,21,0,1
2021-10-10,2,2,22,0,1
2021-10-10,15,2,36,0,0
2021-10-11,7,2,61,0,0
2021-10-13,11,1,59,0,1
2021-10-14,15,2,72,0,0
2021-10-15,17,2,31,0,1
2021-10-15,18,2,40,0,0
2021-10-15,20,2,24,0,0
2021-10-18,11,1,42,0,1
2021-10-18,20,2,71,0,0
2021-10-20,10,1,23,0,1
2021-10-22,11,2,41,0,0
2021-10-22,20,1,58,0,0
2021-10-23,19,2,41,0,0
2021-10-24,16,1,24,0,0
2021-10-25,8,2,46,0,0
2021-10-28,17,2,24,0,0
2021-10-29,15,1,72,0,0
2021-10-29,17,2,24,0,1
2021-10-29,17,2,52,0,0
2021-10-30,12,1,24,0,0
2021-11-01,11,2,47,3,0
2021-11-02,7,2,21,1,0
2021-11-03,16,2,30,0,0
2021-11-03,18,1,19,0,0
2021-11-03,22,2,48,0,0
2021-11-05,0,1,29,0,0
2021-11-08,14,2,60,0,0
2021-11-10,16,2,44,0,1
2021-11-10,22,1,17,0,0
2021-11-12,14,1,54,0,0
2021-11-12,15,2,30,0,0
2021-11-12,16,2,39,0,1
2021-11-13,16,2,41,0,0
2021-11-14,0,1,63,0,0
2021-11-15,13,1,48,0,0
2021-11-15,16,1,42,0,1
2021-11-16,9,1,20,0,0
2021-11-16,17,1,36,0,1
2021-11-16,19,1,45,0,0
2021-11-17,11,1,49,6,1
2021-11-19,12,2,22,0,1
2021-11-19,15,2,27,0,0
2021-11-19,17,2,41,0,0
2021-11-20,20,2,57,0,0
2021-11-20,22,2,29,1,0
2021-11-23,18,3,31,0,0
2021-11-26,9,2,37,0,0
2021-11-26,15,1,43,0,0
2021-11-27,11,4,60,0,0
