System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,295.217,3/6/2022,19:30:00,39.74061,-104.60316,Light Pole/Utility Pole,1.0,Snow,,
Interstate Highway,070A,316.00,3/6/2022,21:00:00,39.715184,-104.220504,Other Non-Collision,1.0,Clear,51.0,M
Interstate Highway,070A,245.00,3/6/2022,23:45:00,39.7279,-105.42318,Sideswipe Same Direction,2.0,Snow,23.0,M
Interstate Highway,070A,297.25,3/7/2022,16:04:00,39.73937,-104.56581,Rear-End,2.0,Clear,35.0,M
Interstate Highway,070A,289.07,3/7/2022,17:51:00,39.73987,-104.71787,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,254.00,3/8/2022,19:00:00,39.70949,-105.28605,Rear-End,2.0,Clear,,
Interstate Highway,070A,243.134,3/9/2022,14:50:00,39.74554,-105.45822,Sideswipe Same Direction,2.0,Snow,34.0,M
Interstate Highway,070A,288.80,3/10/2022,07:00:00,39.74018,-104.72255,Concrete Highway Barrier,1.0,Cloudy,59.0,M
Interstate Highway,070A,238.00,3/11/2022,18:45:00,39.744,-105.5352,Sideswipe Same Direction,2.0,Clear,18.0,F
Interstate Highway,070A,245.00,3/12/2022,06:00:00,39.72818,-105.42286,Sideswipe Same Direction,2.0,Wind,52.0,F
Interstate Highway,070A,260.87,3/12/2022,19:12:00,39.72382,-105.18138,Rear-End,2.0,Clear,16.0,F
Interstate Highway,070A,296.55,3/13/2022,06:30:00,39.73996,-104.57861,Tree,1.0,Clear,19.0,M
Interstate Highway,070A,247.69,3/13/2022,11:46:00,39.71572,-105.38418,Rear-End,2.0,Clear,52.0,M
Interstate Highway,070A,288.52,3/15/2022,06:35:00,39.740109,-104.726463,Other Non-Collision,1.0,Clear,51.0,M
Interstate Highway,070A,243.00,3/15/2022,13:34:00,39.74257,-105.43302,Rear-End,2.0,Clear,18.0,F
Interstate Highway,070A,240.94,3/15/2022,15:56:00,39.74041,-105.49842,Rear-End,2.0,Clear,16.0,M
Interstate Highway,070A,242.50,3/16/2022,04:09:00,39.74534,-105.46672,Guardrail Face,1.0,Clear,25.0,M
Interstate Highway,070A,288.000,3/17/2022,08:40:00,39.74244,-104.73645,Concrete Highway Barrier,1.0,Snow,32.0,F
Interstate Highway,070A,288.04,3/17/2022,08:44:00,39.74018,-104.73861,Rear-End,3.0,Snow,61.0,F
Interstate Highway,070A,289.16,3/17/2022,16:09:00,39.7396,-104.71602,Broadside,2.0,Cloudy,16.0,F
Interstate Highway,070A,292.00,3/17/2022,19:29:00,39.7402,-104.663214,Other Non-Fixed Object Describe in Narrative),1.0,Clear,33.0,M
Interstate Highway,070A,315.000,3/18/2022,16:30:00,39.71987,-104.23824,Fence,1.0,Clear,34.0,M
Interstate Highway,070A,240.5,3/19/2022,04:38:00,39.7403,-105.5049,Guardrail Face,1.0,Clear,58.0,M
Interstate Highway,070A,260.86,3/19/2022,15:15:00,39.72359,-105.18175,Rear-End,2.0,Clear,40.0,M
Interstate Highway,070A,228.00,3/20/2022,12:14:00,39.73633,-105.71098,Rear-End,2.0,Cloudy,19.0,M
Interstate Highway,070A,221.00,3/21/2022,07:47:00,39.7195,-105.82454,Overturning/Rollover,1.0,Snow,17.0,F
Interstate Highway,070A,247.50,3/22/2022,17:06:00,39.71631,-105.39664,Overturning/Rollover,1.0,Snow,43.0,F
Interstate Highway,070A,244.337,3/23/2022,13:50:00,39.74556,-105.43771,Sideswipe Same Direction,1.0,Clear,,
Interstate Highway,070A,313.00,3/23/2022,15:20:00,39.7283111,-104.2730944,Rear-End,2.0,Clear,62.0,M
Interstate Highway,070A,229.00,3/25/2022,17:10:00,39.73767,-105.68649,Rear-End,2.0,Clear,17.0,M
Interstate Highway,070A,248.00,3/25/2022,20:00:00,39.71543,-105.38361,Wild Animal,1.0,Clear,19.0,M
Interstate Highway,070A,246.00,3/26/2022,00:30:00,39.73402,-105.42808,Sideswipe Same Direction,2.0,Clear,22.0,M
Interstate Highway,070A,244.00,3/28/2022,23:30:00,39.74563,-105.43937,Sideswipe Same Direction,2.0,Clear,48.0,M
Interstate Highway,070A,239.75,3/29/2022,13:49:00,39.74282,-105.52755,Concrete Highway Barrier,1.0,Clear,53.0,M
Interstate Highway,070A,254.20,3/29/2022,18:00:00,39.70841,-105.28247,Ditch,1.0,Snow,42.0,M
Interstate Highway,070A,317.000,3/31/2022,22:40:00,39.70887,-104.20369,Rear-End,3.0,Clear,19.0,M
Interstate Highway,070A,244,4/1/2022,14:29:00,39.7412,-105.4332,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,249.104,4/2/2022,19:51:00,39.71283,-105.36615,Guardrail Face,1.0,Clear,31.0,M
Interstate Highway,070A,259.80,4/5/2022,15:47:00,39.71307,-105.19258,Wall or Building,1.0,Clear,22.0,M
Interstate Highway,070A,292.00,4/7/2022,18:20:00,39.7402,-104.663214,Rear-End,2.0,Clear,57.0,M
Interstate Highway,070A,304.00,4/7/2022,21:15:00,39.738127,-104.440155,Overturning/Rollover,2.0,Clear,,
Interstate Highway,070A,244.300,4/8/2022,21:56:00,39.74563,-105.43852,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,299.00,4/9/2022,03:00:00,39.73888,-104.52696,Guardrail Face,1.0,Cloudy,,
Interstate Highway,070A,243.46,4/9/2022,21:52:00,39.74332,-105.45293,Parked Motor Vehicle,2.0,Clear,39.0,F
Interstate Highway,070A,310.00,4/11/2022,23:13:00,39.73364,-104.31712,Parked Motor Vehicle,3.0,Wind,83.0,M
Interstate Highway,070A,310.00,4/13/2022,17:00:00,39.73436,-104.3312,Vehicle Debris or Cargo,2.0,Clear,29.0,M
Interstate Highway,070A,293.350,4/14/2022,02:07:00,39.73785,-104.63863,Wild Animal,1.0,Clear,29.0,M
Interstate Highway,070A,262,4/14/2022,15:00:00,39.73466,-105.16562,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,227.80,4/14/2022,15:45:00,39.71392,-105.69677,Rear-End,2.0,Cloudy,29.0,M
Interstate Highway,070A,260.57,4/14/2022,17:27:00,39.72077,-105.18599,Rear-End,2.0,Clear,29.0,M
Interstate Highway,070A,261,4/14/2022,22:39:00,39.72492,-105.179715,Rear-End,2.0,Clear,,
Interstate Highway,070A,238.000,4/15/2022,15:05:00,39.74979,-105.54908,Guardrail Face,1.0,Clear,25.0,M
Interstate Highway,070A,261.63,4/15/2022,15:30:00,39.730957,-105.170285,Rear-End,2.0,Clear,39.0,F
Interstate Highway,070A,240.15,4/15/2022,16:22:00,39.741,-105.51546,Rear-End,2.0,Clear,22.0,M
Interstate Highway,070A,241.00,4/16/2022,00:18:00,39.74026,-105.49955,Rear-End,2.0,Clear,66.0,M
Interstate Highway,070A,242.52,4/16/2022,05:00:00,39.74516,-105.46992,Guardrail Face,1.0,Rain,24.0,M
Interstate Highway,070A,244.76,4/16/2022,10:10:00,39.74103,-105.43298,Sideswipe Same Direction,2.0,Clear,56.0,F
Interstate Highway,070A,229.02,4/16/2022,14:00:00,39.73089,-105.69257,Sideswipe Same Direction,2.0,Clear,15.0,F
Interstate Highway,070A,288.39,4/16/2022,15:58:00,39.740125,-104.728944,Sideswipe Same Direction,2.0,Cloudy,24.0,M
Interstate Highway,070A,244.55,4/18/2022,21:07:00,39.74398,-105.43403,Sideswipe Same Direction,2.0,Clear,41.0,M
Interstate Highway,070A,248.694,4/19/2022,11:25:00,39.71544,-105.37222,Delineator/Milepost,1.0,Clear,,
Interstate Highway,070A,262.48,4/19/2022,17:17:00,39.73942,-105.16102,Rear-End,2.0,Clear,20.0,M
Interstate Highway,070A,291.82,4/19/2022,19:03:00,39.74018,-104.66786,Cable Rail,1.0,Clear,62.0,M
Interstate Highway,070A,305.00,4/20/2022,03:11:00,39.73808,-104.42353,Rear-End,2.0,Clear,27.0,F
Interstate Highway,070A,303.00,4/20/2022,13:30:00,39.73779,-104.45607,Embankment,1.0,Clear,40.0,M
Interstate Highway,070A,249.787,4/21/2022,09:12:00,39.71139,-105.35361,Embankment,1.0,Clear,67.0,M
Interstate Highway,070A,241.53,4/22/2022,07:04:00,39.74375,-105.48305,Light Pole/Utility Pole,2.0,Clear,32.0,M
Interstate Highway,070A,308.00,4/22/2022,13:32:00,39.72889,-104.27531,Overturning/Rollover,1.0,Wind,29.0,M
Interstate Highway,070A,312.00,4/22/2022,14:37:00,39.72943,-104.27764,Overturning/Rollover,1.0,Wind,54.0,M
Interstate Highway,070A,299.00,4/23/2022,17:20:00,39.738798,-104.533435,Rear-End,2.0,Clear,59.0,M
Interstate Highway,070A,229.01,4/24/2022,12:10:00,39.73073,-105.6927,Overturning/Rollover,1.0,Snow,30.0,M
Interstate Highway,070A,244.600,4/25/2022,11:14:00,39.74341,-105.43328,Concrete Highway Barrier,1.0,Clear,67.0,F
Interstate Highway,070A,247.60,4/26/2022,14:23:00,39.7149,-105.3913,Overturning/Rollover,1.0,Cloudy,39.0,M
Interstate Highway,070A,241.50,4/26/2022,19:00:00,39.74418,-105.47874,Parked Motor Vehicle,2.0,Clear,25.0,M
Interstate Highway,070A,261.33,5/1/2022,16:17:00,39.728,-105.17492,Sideswipe Same Direction,2.0,Cloudy,,
Interstate Highway,070A,288.05,5/1/2022,19:30:00,39.742422,-104.736262,Cable Rail,1.0,Wind,19.0,F
Interstate Highway,070A,305.00,5/2/2022,05:29:00,39.73851,-104.42367,Parked Motor Vehicle,2.0,Rain,38.0,M
Interstate Highway,070A,262,5/3/2022,08:14:00,39.73437,-105.1666,Sideswipe Same Direction,2.0,Clear,52.0,M
Interstate Highway,070A,229.800,5/4/2022,07:00:00,39.74109,-105.68501,Sign,1.0,Snow,46.0,M
Interstate Highway,070A,240.50,5/6/2022,09:19:00,39.74474,-105.48728,Guardrail Face,1.0,Clear,28.0,M
Interstate Highway,070A,254,5/9/2022,19:45:00,39.70926,-105.2849,Overturning/Rollover,1.0,Clear,19.0,M
Interstate Highway,070A,301.650,5/11/2022,21:34:00,39.73823,-104.48408,Wild Animal,1.0,Clear,41.0,M
Interstate Highway,070A,287.22,5/13/2022,03:11:00,39.749457,-104.748085,Sideswipe Same Direction,2.0,Clear,77.0,M
