SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,229.02,2/9/2017,1235.0,INJ,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,DRY,DAYLIGHT,39.730831,-105.692334,79,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,228.33,2/9/2017,2305.0,PDO,ON,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.721981,-105.695512,54,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,228.7,2/10/2017,114.0,PDO,ON,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DARK-LIGHTED,39.72674,-105.693887,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,229.3,2/10/2017,720.0,INJ,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.734252,-105.689652,63,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.5,2/10/2017,1907.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.744354,-105.43495,31,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,229.0,2/11/2017,1405.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.730575,-105.692431,29,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.71,2/11/2017,1600.0,INJ,OFF RIGHT,RAMP,1,CURVE ON-GRADE,DRY,DAYLIGHT,39.722168,-105.183956,19,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,295.3,2/12/2017,1848.0,PDO,ON,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.73988,-104.601713,48,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,2/14/2017,1710.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.739801,-105.159144,56,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.31,2/15/2017,1600.0,PDO,ON,RAMP,2,CURVE ON-GRADE,DRY,DAYLIGHT,39.746682,-105.437031,51,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,297.1,2/16/2017,400.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.73946,-104.568664,39,F,ALCOHOL INVOLVED
INTERSTATE,70,A,290.0,2/17/2017,1152.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740096,-104.700694,53,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,2/17/2017,1745.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.739801,-105.159144,23,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.0,2/18/2017,625.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAWN OR DUSK,39.737695,-105.431191,29,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.0,2/18/2017,625.0,INJ,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.737695,-105.431191,29,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.5,2/18/2017,725.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.744411,-105.488957,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,288.67,2/19/2017,1305.0,FAT,OFF RIGHT,RAMP,1,CURVE ON-GRADE,DRY,DAYLIGHT,39.740767,-104.724397,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.0,2/20/2017,739.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.743855,-105.480957,49,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,155.1,2/23/2017,700.0,INJ,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-LEVEL,ICY,DAYLIGHT,39.70834,-106.692034,38,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.96,2/23/2017,815.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-GRADE,ICY,DAYLIGHT,39.738236,-105.431542,27,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.0,2/23/2017,1033.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,ICY,DARK-UNLIGHTED,39.746291,-105.460542,41,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,253.0,2/23/2017,1235.0,PDO,OFF LEFT,NON-INTERSECTION,3,STRAIGHT ON-LEVEL,SNOWY,DAYLIGHT,39.712496,-105.304125,36,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,253.05,2/23/2017,1255.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,SNOWY,DAYLIGHT,39.712265,-105.303236,21,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,253.2,2/23/2017,1255.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,SNOWY,DAYLIGHT,39.711572,-105.300568,67,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.86,2/23/2017,1300.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,ICY,DAYLIGHT,39.739637,-105.432274,26,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,242.9,2/23/2017,1305.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-GRADE,SNOWY,DAYLIGHT,39.746602,-105.462679,23,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.5,2/23/2017,1401.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,SNOWY,DAYLIGHT,39.744411,-105.488957,55,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,288.2,2/23/2017,1710.0,INJ,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,ICY,DAYLIGHT,39.740881,-104.733566,40,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,259.5,2/24/2017,645.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,ICY,DAYLIGHT,39.708499,-105.196871,34,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.46,2/24/2017,805.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,SNOWY,DAYLIGHT,39.713616,-105.313718,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.85,2/24/2017,1245.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,WET,DAYLIGHT,39.723484,-105.181929,58,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.1,2/26/2017,200.0,PDO,OFF RIGHT,NON-INTERSECTION,1,CURVE ON-GRADE,DRY,DARK-UNLIGHTED,39.7089,-105.284318,31,F,ALCOHOL INVOLVED
INTERSTATE,70,A,299.5,2/26/2017,820.0,INJ,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.738594,-104.523728,59,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,2/27/2017,840.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.739801,-105.159144,59,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,227.9,2/28/2017,50.0,INJ,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,ICY,DARK-UNLIGHTED,39.715408,-105.696539,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,305.97,3/1/2017,1010.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,ICY W/VIS ICY ROAD TREATMENT,DAYLIGHT,39.736957,-104.403752,39,F,NO IMPAIRMENT SUSPECTED
